quad1,quad2,dist
A2,AR6,1677.807307
A2,AR5,1682.496336
G5,T10,1686.038797
U2,U5,1687.448829
L2,L4,1687.663727
J9,R2,1690.47285
I1,K1,1690.825076
K1,PSG9,1699.698587
K1,PSG10,1700.193313
J22,L1,1703.851361
G1,L1,1707.205167
L1,L3,1712.13736
L1,L3A,1712.13736
A1,A3,1714.4417
AR5,B1,1716.039006
L3,L5,1716.243936
L3A,L5,1716.243936
B5,H3,1716.404008
L2,Y7,1718.457439
T10,T8,1719.153668
K1,PSG11,1720.459214
AR6,B1,1727.076194
U1,U4,1745.32363
I4,R1,1746.359597
T4,T6,1754.331733
K1,PSG12,1758.804886
N4,U4,1759.70244
J8,U2,1760.127659
A1,B1,1762.500345
I4,J9,1769.695336
G4,T7,1774.19319
I2,I5,1775.587516
G2,K1,1778.408703
L2,Y3,1786.111737
I2,L2,1796.751056
J22,R2,1799.022147
I1,J22,1812.60192
J9,L1,1817.823968
T1,T4,1832.730602
I4,J22,1838.16743
AR4,B2,1857.262477
MG4,T11,1860.009896
MG1,MG4,1869.992108
K2,L1,1872.535092
L1,R1,1882.112994
G1,K2,1887.944112
I1,J9,1892.691
J1,U3,1921.628226
I5,J12,1928.290509
J12,U3,1943.774335
I1,R1,1945.531957
I5,J8,1953.032447
K1,L2,1957.432786
I5,J1,1959.152366
K2,T7,1979.608417
N5,U2,1986.275537
G6,T10,1998.89711
I3,I6,2012.255875
N6,U2,2017.902914
G1,T9,2042.612586
G3,T10,2044.236096
I4,J8,2058.366652
AR5,B2,2063.288915
AR6,B2,2074.45003
AR4,B2A,2096.899693
L4,R2,2100.983455
I3,I7,2109.801828
B1,B4,2111.342466
I2,I6,2117.550335
N6,U1,2118.554053
MG2,T10,2118.565997
I1,T7,2132.377806
I3,L1,2132.493886
N1,N6,2136.124598
V2,V6,2142.090142
N3,N5,2143.59762
N3A,N5,2143.634889
V1,V3,2144.613117
I4,I6,2154.465859
G2,I1,2154.828489
G1,I2,2165.773716
N6,R4,2167.231796
N3,R3,2173.116734
I2,I7,2185.766949
N4,N6,2190.00461
N5,U3,2204.754112
N3A,R3,2209.444804
L5,R2,2214.841245
I3,L2,2232.522616
V1,V4,2238.201525
MG6,T10,2248.199895
J8,U3,2249.911143
N3A,U1,2254.055813
T3,T6,2262.068607
I1,I4,2262.371391
I4,I7,2269.734725
A2,A5,2286.304973
N6,U4,2293.66445
J22,Y7,2294.379783
R1,R3,2298.896286
MG1,T10,2299.907546
I4,R2,2300.19988
B2,B5,2302.517337
L1,PSG14,2308.792308
N3,U1,2310.969052
I1,L3,2315.668862
I1,L3A,2315.668862
A1,B2,2317.007475
G2,K2,2318.385683
K1,T8,2318.571226
I2,L3,2320.127137
I2,L3A,2320.127137
L1,T7,2321.048576
A3,AR6,2321.916154
A3,AR5,2328.68925
L3,R2,2330.71629
L3A,R2,2330.71629
A3,AR4,2332.116674
P1,P4,2332.528368
AR5,B2A,2342.875735
AR6,B2A,2354.029828
J9,Y7,2362.720859
J9,R3,2363.199474
N1,U2,2366.401175
L5,R1,2373.159965
A1,B2A,2375.398179
K2,L2,2383.376974
J9,L5,2385.161309
G1,G4,2386.008256
J22,L5,2389.116833
R1,Y7,2390.63005
B2A,B5,2392.008653
N6,U5,2392.79025
L1,PSG1,2395.971059
N3A,U2,2400.354813
B5,H2,2407.537782
L1,PSG2,2409.055763
J22,Y3,2414.826247
G2,G5,2416.355444
B4,H3,2429.473053
MG3,T10,2430.76575
G3,K1,2435.050019
N1,U3,2437.106106
U1,U5,2437.130841
T2,T5,2440.392033
T10,T11,2441.493674
T1,T5,2446.2939
N3,U2,2447.643466
K1,K4,2451.149397
G1,PSG1,2451.171331
I2,K1,2453.724273
PSG1,T7,2456.623044
N4,U2,2460.715948
I1,I5,2464.991764
I6,J12,2465.159594
N6,U3,2468.061417
L1,PSG3,2468.7444
G1,PSG2,2469.079567
PSG2,T7,2474.021978
I4,N3A,2476.420182
G2,L1,2476.815489
J22,R3,2478.057437
L1,PSG4,2479.278763
I6,J1,2482.817589
I1,I6,2483.801801
A1,A4,2485.004414
J9,Y3,2486.163529
I1,K2,2489.095139
G1,PSG14,2490.950324
J12,N3A,2496.866539
PSG13,T7,2497.845838
L1,Y7,2502.889982
I4,N3,2505.808135
L1,PSG5,2507.775615
G6,K1,2510.327821
T10,T7,2510.723024
R1,Y3,2515.717057
PSG4,T7,2518.581111
J1,N3A,2519.829614
I1,I7,2519.865587
L1,PSG6,2522.902956
N5,U1,2524.157961
MG5,T11,2525.513224
PSG3,T7,2525.717021
G1,PSG4,2526.7181
G1,PSG3,2528.86863
N4,U3,2530.531434
I3,L3,2541.002418
I3,L3A,2541.002418
I7,J12,2542.114152
PSG14,T7,2542.821752
L1,Y3,2544.928111
G1,PSG13,2546.785647
