year,month,soi
1913,9,-0.95
1913,10,-1.02
1913,11,-1.25
1913,12,-0.89
1914,1,-0.74
1914,2,0.18
1914,3,0.88
1914,4,-2.27
1914,5,-1.21
1914,6,-2.64
1914,7,-0.97
1914,8,-1.84
1914,9,-1.47
1914,10,-0.73
1914,11,-0.47
1914,12,0.17
1915,1,-2.71
1915,2,-0.59
1915,3,-2.49
1915,4,-1.49
1915,5,1.22
1915,6,2.68
1915,7,2.53
1915,8,1.3
1915,9,1.34
1915,10,0.95
1915,11,-1.74
1915,12,0.99
1916,1,0.56
1916,2,-0.52
1916,3,-0.83
1916,4,0.01
1916,5,0.43
1916,6,0.75
1916,7,2.57
1916,8,1.51
1916,9,0.42
1916,10,0.36
1916,11,0.77
1916,12,1.62
1917,1,0.46
1917,2,0.98
1917,3,1.86
1917,4,2.58
1917,5,2.4
1917,6,2.39
1917,7,2.83
1917,8,3.48
1917,9,2.84
1917,10,1.51
1917,11,1.93
1917,12,2.4
1918,1,1.46
1918,2,1.58
1918,3,-0.39
1918,4,2.07
1918,5,1.09
1918,6,-0.78
1918,7,-1.38
1918,8,-0.64
1918,9,-0.85
1918,10,-0.62
1918,11,0.02
1918,12,-1
1919,1,-1.62
1919,2,-1.19
1919,3,-1.57
1919,4,-0.37
1919,5,-0.96
1919,6,-1.46
1919,7,-0.87
1919,8,-0.9
1919,9,-0.59
1919,10,-1.25
1919,11,-1.23
1919,12,-1.12
1920,1,0.18
1920,2,-0.29
1920,3,-0.63
1920,4,-0.1
1920,5,-0.4
1920,6,0.4
1920,7,0.92
1920,8,0.44
1920,9,0.47
1920,10,-0.69
1920,11,-0.19
1920,12,0.99
1921,1,1.09
1921,2,0.58
1921,3,1.07
1921,4,-1.28
1921,5,-0.01
1921,6,4.07
1921,7,0.29
1921,8,-0.88
1921,9,0.46
1921,10,0.97
1921,11,0.76
1921,12,0.81
1922,1,0.78
1922,2,0.77
1922,3,0.48
1922,4,-0.69
1922,5,-0.76
1922,6,0.45
1922,7,0.23
1922,8,-0.28
1922,9,0.46
1922,10,0.55
1922,11,0.76
1922,12,1.21
1923,1,0.56
1923,2,0.34
1923,3,0.84
1923,4,0.81
1923,5,-0.01
1923,6,-0.17
1923,7,-1.11
1923,8,-2.14
1923,9,-1.46
1923,10,-0.72
1923,11,-1.41
1923,12,0.13
1924,1,-0.68
1924,2,0.01
1924,3,0.11
1924,4,-1.95
1924,5,1.19
1924,6,0.84
1924,7,0.78
1924,8,0.88
1924,9,0.74
1924,10,0.63
1924,11,1.02
1924,12,0.48
1925,1,0.54
1925,2,1.22
1925,3,1.52
1925,4,1.48
1925,5,-0.3
1925,6,-0.82
1925,7,-1.31
1925,8,-1.24
1925,9,-0.66
1925,10,-1.5
1925,11,-0.97
1925,12,-0.89
1926,1,-0.62
1926,2,-1.56
1926,3,-1.65
1926,4,-0.75
1926,5,-0.28
1926,6,-1.05
1926,7,-0.09
1926,8,-0.92
1926,9,0.12
1926,10,0.24
1926,11,0.07
1926,12,0.59
1927,1,0.51
1927,2,0.01
1927,3,1.84
1927,4,0.75
1927,5,0.62
1927,6,0.91
1927,7,0.17
1927,8,-0.75
1927,9,-0.07
1927,10,-0.55
1927,11,-0.91
1927,12,0.75
1928,1,-1.22
1928,2,0.95
1928,3,1.38
1928,4,1.44
1928,5,-0.09
1928,6,-1.15
1928,7,-0.02
1928,8,0.8
1928,9,0.74
1928,10,0.77
1928,11,0.21
1928,12,1.2
1929,1,1.74
1929,2,1.69
1929,3,0.41
1929,4,0.58
1929,5,-1.2
1929,6,0.06
1929,7,0.21
1929,8,-0.17
1929,9,-0.07
1929,10,0.8
1929,11,0.95
1929,12,0.53
1930,1,1.31
1930,2,0.68
1930,3,0.04
1930,4,-0.33
1930,5,0.47
1930,6,-0.84
1930,7,-0.4
1930,8,-0.39
1930,9,-0.72
1930,10,0.46
1930,11,0.3
1930,12,-0.27
1931,1,0.63
1931,2,-1.61
1931,3,0.44
1931,4,1.1
1931,5,1.66
1931,6,2.23
1931,7,0.98
1931,8,-0.5
1931,9,0.35
1931,10,-1
1931,11,-0.37
1931,12,0.81
1932,1,0.21
1932,2,-0.36
1932,3,-0.72
1932,4,-2.76
1932,5,0.09
1932,6,-0.26
1932,7,-1.52
1932,8,-0.9
1932,9,-0.86
1932,10,-0.69
1932,11,-0.61
1932,12,0.25
1933,1,-1.22
1933,2,0.34
1933,3,-0.35
1933,4,0.47
1933,5,0.74
1933,6,-0.68
1933,7,0.38
1933,8,-0.23
1933,9,0.17
1933,10,0.17
1933,11,0.53
1933,12,0.81
1934,1,0.62
1934,2,-0.06
1934,3,-0.12
1934,4,0.64
1934,5,-0.76
1934,6,1.12
1934,7,0.3
1934,8,-2.44
1934,9,-0.64
1934,10,0.38
1934,11,1.21
1934,12,-0.38
1935,1,0.64
1935,2,-0.56
1935,3,1.21
1935,4,0.37
1935,5,-0.46
1935,6,-0.42
1935,7,-0.02
1935,8,0
1935,9,0.59
1935,10,0.6
1935,11,0.3
1935,12,-0.56
1936,1,-0.3
1936,2,-0.04
1936,3,0.05
1936,4,2.81
1936,5,0.27
1936,6,-0.37
1936,7,0.43
1936,8,-1
1936,9,0.23
1936,10,-0.11
1936,11,-1.55
1936,12,-0.04
1937,1,0.95
