quadrat,vegtype,upland_byspecies,upland_bysoil,NAD 27 X,NAD 27 Y,NAD27 UTM,WGS84 UTM,WGS84 Lat Lon degrees decimal minutes
PSG7,,,upland,338072.9,3612133,13 S 338072.9 3612133,13 S 338023 3612337,N32 38.206 W106 43.607
PSG8,,,upland,338087.5,3612142,13 S 338087.5 3612142,13 S 338038 3612346,N32 38.211 W106 43.598
PSG9,,,upland,338105.3,3612202,13 S 338105.3 3612202,13 S 338055 3612406,N32 38.244 W106 43.587
R1,BOER,upland,upland,338217.4,3607824,13 S 338217.4 3607824,13 S 338167 3608028,N32 35.876 W106 43.470
R2,BOER,upland,upland,339008,3606400,13 S 339008 3606400,13 S 338958 3606604,N32 35.113 W106 42.950
R3,BOER,upland,upland,339002.3,3605662,13 S 339002.3 3605662,13 S 338952 3605866,N32 34.714 W106 42.946
R4,BOER,upland,upland,338718,3604945,13 S 338718 3604945,13 S 338668 3605149,N32 34.323 W106 43.120
S1,BOGR,,,356629,3605545,13 S 356629 3605545,13 S 356579 3605749,N32 34.796 W106 31.681
S2,BOGR,,,356599.3,3605594,13 S 356599.3 3605594,13 S 356549 3605798,N32 34.822 W106 31.701
S3,BOGR,,,352277.9,3616441,13 S 352277.9 3616441,13 S 352228 3616645,N32 40.657 W106 34.565
S4,BOGR,,,352295.7,3616439,13 S 352295.7 3616439,13 S 352246 3616643,N32 40.656 W106 34.554
S5,BOGR,,,352554.6,3616370,13 S 352554.6 3616370,13 S 352505 3616574,N32 40.620 W106 34.387
S6,BOGR,,,353257,3616150,13 S 353257 3616150,13 S 353207 3616354,N32 40.507 W106 33.936
T1,PLMU,lowland,,329607,3620825,13 S 329607 3620825,13 S 329557 3621029,N32 42.832 W106 49.115
T10,PLMU,lowland,upland,334841,3613334,13 S 334841 3613334,13 S 334791 3613538,N32 38.827 W106 45.686
T11,PLMU,lowland,upland,333727,3615506,13 S 333727 3615506,13 S 333677 3615710,N32 39.992 W106 46.422
T2,PLMU,lowland,,329856.1,3621259,13 S 329856.1 3621259,13 S 329806 3621463,N32 43.069 W106 48.961
T3,PLMU,lowland,,330620,3620955,13 S 330620 3620955,13 S 330570 3621159,N32 42.912 W106 48.468
T4,PLMU,lowland,,331439.8,3620865,13 S 331439.8 3620865,13 S 331390 3621069,N32 42.871 W106 47.943
T5,PLMU,lowland,upland,331855.3,3619860,13 S 331855.3 3619860,13 S 331805 3620064,N32 42.331 W106 47.666
T6,PLMU,lowland,,332091.6,3619238,13 S 332091.6 3619238,13 S 332042 3619442,N32 41.996 W106 47.508
T7,PLMU,lowland,upland,335718,3610980,13 S 335718 3610980,13 S 335668 3611184,N32 37.562 W106 45.101
T8,PLMU,lowland,,335040.3,3611625,13 S 335040.3 3611625,13 S 334990 3611829,N32 37.905 W106 45.541
T9,PLMU,lowland,upland,334618.1,3611835,13 S 334618.1 3611835,13 S 334568 3612039,N32 38.014 W106 45.813
U1,BOER,upland,upland,334919.4,3604340,13 S 334919.4 3604340,13 S 334869 3604544,N32 33.962 W106 45.541
U2,BOER,upland,upland,334926.8,3603576,13 S 334926.8 3603576,13 S 334877 3603780,N32 33.549 W106 45.528
U3,BOER,upland,upland,334507.4,3603293,13 S 334507.4 3603293,13 S 334457 3603497,N32 33.392 W106 45.793
U4,BOER,upland,upland,334934.3,3602595,13 S 334934.3 3602595,13 S 334884 3602799,N32 33.018 W106 45.513
U5,BOER,upland,upland,335329,3601937,13 S 335329 3601937,13 S 335279 3602141,N32 32.666 W106 45.254
V1,BOER,upland,upland,343285.5,3608843,13 S 343285.5 3608843,13 S 343236 3609047,N32 36.471 W106 40.241
V2,BOER,upland,upland,344692.7,3608190,13 S 344692.7 3608190,13 S 344643 3608394,N32 36.130 W106 39.335
V3,BOER,upland,upland,345388.5,3608419,13 S 345388.5 3608419,13 S 345339 3608623,N32 36.260 W106 38.893
V4,BOER,upland,upland,345482.9,3608419,13 S 345482.9 3608419,13 S 345433 3608623,N32 36.261 W106 38.832
V5,BOER,upland,upland,346148.1,3608134,13 S 346148.1 3608134,13 S 346098 3608338,N32 36.112 W106 38.404
V6,BOER,upland,upland,346805.9,3607839,13 S 346805.9 3607839,13 S 346756 3608043,N32 35.958 W106 37.981
Y1,PLMU,lowland,,336678.6,3596733,13 S 336678.6 3596733,13 S 336629 3596937,N32 29.862 W106 44.338
Y2,PLMU,lowland,,336692,3596734,13 S 336692 3596734,13 S 336642 3596938,N32 29.863 W106 44.329
Y3,PLMU,lowland,upland,340120.4,3609470,13 S 340120.4 3609470,13 S 340070 3609674,N32 36.783 W106 42.271
Y7,PLMU,lowland,,340067.7,3609337,13 S 340067.7 3609337,13 S 340018 3609541,N32 36.711 W106 42.303
