"quadrat","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1942"
"R1",0.076551235,0.074843695,0.07751468,0.112869795,0.112526985,0.044600495,0.01605489,0.031367085,0.0387321,0.040333445,0.033090295,0.070610985,0.066028245
"R2",0.09921207,0.09793697,0.12030148,0.165052455,0.17019885,0.080007915,0.03365061,0.070221445,0.07477876,0.076282855,0.04547025,0.08058156,0.10319887
"R3",0.13324063,0.113568935,0.1436122,0.163832015,0.190334485,0.08960116,0.053496935,0.099779665,0.08942964,0.08467685,0.057211095,0.07696732,0.04425225
"R4",0.10626268,0.1031792,2e-04,0.095999225,4e-04,7e-04,0.05356567,0.07344763,0.050949425,0.056293225,0.035954395,0.05544834,0.025007185
"T1",0.20958034,0.16799733,0.13403119,0.10670266,0.149443325,0.1166523,0.039772655,0.109015175,0.20519205,NA,0.20254184,0.197146245,0.17739775
"T10",0.2910913,0.35291473,0.24980074,0.201430475,0.24427472,0.18528178,0.09257786,0.127368575,0.183369605,0.22562515,0.19099626,0.174117125,0.23875744
"T11",0.29714306,0.31647951,0.235326055,0.19999037,0.21354146,0.15226307,0.104527,0.1247929,0.15635916,0.217364625,0.18957068,0.20427402,0.216529355
"T2",0.319798165,0.27157884,0.34747039,0.268989925,0.264823845,0.284686275,0.148168645,0.158238355,0.248587305,0.36754061,0.254589965,0.21007394,0.296250089
"T3",0.28710835,0.26219823,0.247417905,0.18528661,0.23428232,0.233999985,0.05368006,0.0144727,0.065228865,0.127594885,0.109036655,0.10743792,0.13124189
"T4",0.40078455,NA,0.36270152,0.30831238,0.299375075,0.284927725,0.22309972,0.19316161,0.324853475,0.41166001,0.331571255,0.222862865,0.29713539
"T5",0.250208605,0.25130634,0.2282647,0.16737694,0.16817958,0.1329899,0.05189145,0.08732775,0.160081125,0.233035155,0.1743452,0.141681575,0.275175915
"T6",0.21004205,0.20500104,0.17544975,0.18973037,0.14417858,0.10553685,0.072255,0.102865585,0.190757015,0.28151439,0.29327832,0.23665482,0.2798172
"T7",0.26148746,0.23590055,0.314146435,0.275542105,0.348599365,0.2584925,0.270919515,0.207238015,0.33257828,0.36737226,0.23210944,0.14989669,0.265825205
"T8",0.440076975,0.31793261,0.37098592,0.30729022,0.34339328,0.27191466,0.23331781,0.276852555,0.288035975,0.39751961,0.297036375,NA,0.22905786
"T9",0.35061109,0.33044499,0.294707395,0.23635395,0.359841335,0.38234129,0.256077805,0.20856795,0.291904795,0.411790485,0.3042828,0.22528923,0.24272095
"U1",0.10583991,0.083934225,0.0552968,0.082661535,0.103859505,0.05801309,0.04250837,0.057892,0.0591263,0.04807326,0.09898062,0.072390985,0.081565395
"U2",0.11869447,0.12404725,0.0925411,0.149766915,0.24334946,0.11755396,0.05672695,0.0875262,0.10098334,0.092377355,0.109248165,0.13158266,0.148058605
"U3",0.13926949,0.134866355,0.1368808,0.18630068,0.253586055,0.10866539,0.07726339,0.0937727,0.06901525,0.0678975,0.06571423,0.113992285,0.08977976
"U4",0.09074775,0.0950864,0.07841226,0.13220897,0.163148345,0.080887355,0.06694335,0.09648036,0.09221868,0.09936914,0.095207115,0.119309105,0.122145015
"U5",0.119108625,0.100385705,0.06531275,0.106695,0.142161,0.06234866,0.0517314,0.07261636,0.0771475,0.08410979,0.096357825,0.13881388,0.11264157
"V1",0.2136871,0.1681134,0.178121795,0.20805415,0.163357795,0.130568835,0.01997,0.04886059,0.059507,0.063583,0.05062215,0.04716335,0.028873
"V2",0.17566007,0.16736214,0.180901035,0.1832413,0.14978445,0.0980905,0.030701,0.06891655,0.092140205,0.0740294,0.052992,0.08484589,0.084435205
"V3",0.18111729,0.17240158,0.19563937,0.214648775,0.185569345,0.1373189,0.0077357,0.0202767,0.02135385,0.03733953,0.03536688,0.035172895,0.0448
"V4",0.175714995,0.108198825,0.13801137,0.135965675,0.104788575,0.07097335,0.01526263,0.03738546,0.042402935,0.0382083,0.026765115,0.03792335,0.0273357
"V5",0.16158065,0.12554158,0.150888455,0.16998257,0.18532982,0.141043675,0.0133614,0.0354442,0.05175452,0.076034735,0.049763255,0.0814742,0.09784878
"V6",0.155340265,0.08338001,0.121874205,0.1343879,0.148789885,0.09304079,0.00725401,0.02643335,0.02132556,0.02766356,0.01436885,0.013022645,0.01819254
"Y1",0.204823645,0.286976815,0.308042465,0.23316757,0.26723916,0.171649095,0.19625553,0.27104686,0.313160495,0.27284095,0.248253725,0.28726231,0.26517801
"Y3",0.412318205,0.443006755,0.36786448,0.507094,0.45401956,0.36165734,0.298357455,0.528028795,0.51174617,0.42149794,0.24632077,0.28863913,0.25904711
"Y7",0.32989051,0.450791005,0.31977093,0.400033035,0.50350122,0.39222893,0.195170715,0.515972365,0.51238861,0.361578315,0.453057775,0.316043395,0.18894508
